source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,parent_source_document_id,url,url_norm,host,domain_family,path,source_kind,page_role,doc_type_guess,discovery_depth,discovery_score,anchor_text,fetch_status,http_status,content_type,final_url,title,storage_path,content_sha256,file_ext,fetched_at,render_mode,error_message,notes
SD0042,CR005,UNI11,,,,https://www.unisa.it/,https://www.unisa.it/,www.unisa.it,unisa.it,/,master_reference,university_homepage,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unisa.it/,UNISA | Home,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0042.html,2ac8e222e03d35c39e26babd7e0d9fd718bed9d51c31207e66c11be947aff8a4,.html,2026-04-03T17:24:53+02:00,raw_http,,tranche4; homepage snapshot
SD0043,CR005,UNI11,,,SD0042,https://web.unisa.it/didattica/corsi-laurea,https://web.unisa.it/didattica/corsi-laurea,web.unisa.it,unisa.it,/didattica/corsi-laurea,master_reference,programmes_hub,html,0,10,,fetched,200,text/html; charset=UTF-8,https://web.unisa.it/didattica/corsi-laurea,Didattica | Corsi di Laurea e Laurea Magistrale,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0043.html,832f48280f304389e4f0e36ca36f8e3861fb30ca3498625f4c937f10a560548f,.html,2026-04-03T17:24:54+02:00,raw_http,,tranche4; programmes hub snapshot
SD0045,CR005,UNI11,C022,J022,SD0043,https://corsi.unisa.it/corporate-communication-e-media,https://corsi.unisa.it/corporate-communication-e-media,corsi.unisa.it,unisa.it,/corporate-communication-e-media,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=UTF-8,https://corsi.unisa.it/corporate-communication-e-media,Corporate Communication e Media | Home,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0045.html,7f6595d1c3009645d80f88e33709555fdff3446ddc518fe69e3119ff5f7897de,.html,2026-04-03T17:24:56+02:00,raw_http,,tranche4; official course portal
