crawl_run_id,serp_observation_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,search_engine,search_interface,hl,gl,browser_mode,login_status,device_profile,viewport_width,observed_at,max_organic_depth,max_organic_depth_observed,target_found,target_found_top10,target_found_top20,target_rank_organic,target_rank_absolute,target_result_title,target_result_url,target_match_type,canonical_course_url,serp_features_observed,ads_observed,evidence_capture_path,notes
CR043,[auto_on_import],C039,UNI20,[to_be_filled],SQ01,known_institution,"""Beni culturali"" ""Università degli Studi di Trento""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:12:00+02:00,10,10,true,true,,1,1,Beni culturali,https://www.lettere.unitn.it/167/beni-culturali,official_equivalent,https://corsi.unitn.it/it/beni-culturali,"ai_overview, people_also_ask",false,artifacts/runs/SERP_B008/serp/SERP_B008_r001_top10.png,equivalent sotto dominio del dipartimento del corso
CR043,[auto_on_import],C039,UNI20,[to_be_filled],SQ02,user_like_institutional,Beni culturali UniTrento,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:15:00+02:00,10,10,true,true,,1,1,Beni culturali - Corsi - UniTrento,http://corsi.unitn.it/it/beni-culturali,canonical_exact,https://corsi.unitn.it/it/beni-culturali,people_also_ask,false,artifacts/runs/SERP_B008/serp/SERP_B008_r002_top10.png,l'equivalent di prima ora è in seconda posizione e il target è il primo risultato
CR043,[auto_on_import],C039,UNI20,[to_be_filled],SQ03,information_seeking,Beni culturali triennale Trento,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:17:00+02:00,10,10,true,true,,1,1,Beni culturali - Corsi - UniTrento,http://corsi.unitn.it/it/beni-culturali,canonical_exact,https://corsi.unitn.it/it/beni-culturali,"ai_overview, people_also_ask",false,artifacts/runs/SERP_B008/serp/SERP_B008_r003_top10.png,
CR043,[auto_on_import],C040,UNI20,[to_be_filled],SQ01,known_institution,"""Organizzazione, società e tecnologia"" ""Università degli Studi di Trento""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:21:00+02:00,10,10,true,true,,2,2,"[0632H] Organizzazione, società e tecnologia link_2",https://unitn.coursecatalogue.cineca.it/corsi/2025/10850,official_equivalent,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,"ai_overview, people_also_ask",false,artifacts/runs/SERP_B008/serp/SERP_B008_r004_top10.png,"per qualche ragione sono indicizzati i pdf del regolarmento ma non la pagina del corso, si trova solo la pagina dentro cineca che riporta le info equivalenti"
CR043,[auto_on_import],C040,UNI20,[to_be_filled],SQ02,user_like_institutional,"Organizzazione, società e tecnologia UniTrento",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:22:00+02:00,10,10,true,true,,1,1,"Organizzazione, società e tecnologia - Corsi - UniTrento",http://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,canonical_exact,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,people_also_ask,false,artifacts/runs/SERP_B008/serp/SERP_B008_r005_top10.png,ora invece trova il target
CR043,[auto_on_import],C040,UNI20,[to_be_filled],SQ03,information_seeking,"Organizzazione, società e tecnologia magistrale Trento",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:24:00+02:00,10,10,true,true,,1,1,"Organizzazione, società e tecnologia - Corsi - UniTrento",http://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,canonical_exact,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,,false,artifacts/runs/SERP_B008/serp/SERP_B008_r006_top10.png,
CR043,[auto_on_import],C041,UNI20,[to_be_filled],SQ01,known_institution,"""Giurisprudenza"" ""Università degli Studi di Trento""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:26:00+02:00,10,10,true,true,,2,2,[0205F] Giurisprudenza link_2 - Course Catalogue - UNITN,https://unitn.coursecatalogue.cineca.it/corsi/2024/10055/insegnamenti/50371,official_equivalent,https://corsi.unitn.it/it/giurisprudenza,"ai_overview, people_also_ask, knowledge_panel",false,artifacts/runs/SERP_B008/serp/SERP_B008_r007_top10.png,primo risultato sarebbe una sottopagina del target (ammisiione)
CR043,[auto_on_import],C041,UNI20,[to_be_filled],SQ02,user_like_institutional,Giurisprudenza corso UniTrento,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:31:00+02:00,10,10,true,true,,1,1,Giurisprudenza | UniTrento - Corsi,http://corsi.unitn.it/it/giurisprudenza,canonical_exact,https://corsi.unitn.it/it/giurisprudenza,,false,artifacts/runs/SERP_B008/serp/SERP_B008_r008_top10.png,"agggiunto corso perché sennò era ovvio che trovava la facoltà e non il corso, la ricerca era ambigua"
CR043,[auto_on_import],C041,UNI20,[to_be_filled],SQ03,information_seeking,Giurisprudenza ciclo unico Trento,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-07T12:32:00+02:00,10,10,true,true,,1,1,Giurisprudenza | UniTrento - Corsi,http://corsi.unitn.it/it/giurisprudenza,canonical_exact,https://corsi.unitn.it/it/giurisprudenza,"ai_overview, people_also_ask",false,artifacts/runs/SERP_B008/serp/SERP_B008_r009_top10.png,"cambiato ""ciclo_unico"" con ""ciclo unico"" perché le persone non scrivono come i programmatori"
