source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,parent_source_document_id,url,url_norm,host,domain_family,path,source_kind,page_role,doc_type_guess,discovery_depth,discovery_score,anchor_text,fetch_status,http_status,content_type,final_url,title,storage_path,content_sha256,file_ext,fetched_at,render_mode,error_message,notes
SD0026,CR004,UNI07,,,,https://unige.it/,https://unige.it/,unige.it,unige.it,/,master_reference,university_homepage,html,0,10,,fetched,200,text/html; charset=UTF-8,https://unige.it/,Università degli Studi di Genova | UniGe,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0026.html,f0d53631019cb1dd933aa9ab6048277db8a28dde4a7362bc7136d684628afa44,.html,2026-04-03T17:16:50+02:00,raw_http,,tranche3; homepage snapshot
SD0027,CR004,UNI07,,,SD0026,https://corsi.unige.it/,https://corsi.unige.it/,corsi.unige.it,unige.it,/,master_reference,programmes_hub,html,0,10,,fetched,200,text/html; charset=UTF-8,https://corsi.unige.it/,Offerta formativa | Corsi di Studio UniGe,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0027.html,5bad57bae365d61ac3e4fd7db2076379af9ba1119a7b4cbf4e1546bac268d8af,.html,2026-04-03T17:16:51+02:00,raw_http,,tranche3; programmes hub snapshot
SD0029,CR004,UNI07,C014,J014,SD0027,https://corsi.unige.it/11945,https://corsi.unige.it/corsi/11945,corsi.unige.it,unige.it,/corsi/11945,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=UTF-8,https://corsi.unige.it/corsi/11945,CORSO DI LAUREA MAGISTRALE (D.M. 1649/2023) in DIGITAL HUMANITIES - INTERACTIVE SYSTEMS AND DIGITAL MEDIA | UniGe | Università di Genova | Corsi di Studio UniGe,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0029.html,4e810d5d2afd7a99ff6490e61519c0cac5b51cf4205ebd4803c6bb841fc42941,.html,2026-04-03T17:16:56+02:00,raw_http,,tranche3; source seed redirects to canonical /corsi/11945
