source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,parent_source_document_id,url,url_norm,host,domain_family,path,source_kind,page_role,doc_type_guess,discovery_depth,discovery_score,anchor_text,fetch_status,http_status,content_type,final_url,title,storage_path,content_sha256,file_ext,fetched_at,render_mode,error_message,notes
SD0030,CR004,UNI08,,,,https://www.unimib.it/,https://www.unimib.it/,www.unimib.it,unimib.it,/,master_reference,university_homepage,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unimib.it/,Università degli Studi di Milano-Bicocca,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0030.html,1d472a8aa55a250dcb4c688f58f571b86f5b09b294c0071ca202e42be80b88e2,.html,2026-04-03T17:16:57+02:00,raw_http,,tranche3; homepage snapshot
SD0031,CR004,UNI08,,,SD0030,https://www.unimib.it/studiare,https://www.unimib.it/studiare,www.unimib.it,unimib.it,/studiare,master_reference,programmes_hub,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unimib.it/studiare,STUDIARE | Università degli Studi di Milano-Bicocca,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0031.html,0142025164008a55f78909fd926109a0d7282d2093f65fe8fd4aec9e0517b6de,.html,2026-04-03T17:16:57+02:00,raw_http,,tranche3; programmes hub snapshot
SD0032,CR004,UNI08,C015,J015,SD0031,https://www.unimib.it/triennale/comunicazione-interculturale,https://www.unimib.it/triennale/comunicazione-interculturale,www.unimib.it,unimib.it,/triennale/comunicazione-interculturale,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unimib.it/triennale/comunicazione-interculturale,Comunicazione interculturale | Università degli Studi di Milano-Bicocca,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0032.html,e82b674d67fceca4180130c89cf7b455a764f5a00f6a37ed731891735025abe5,.html,2026-04-03T17:16:58+02:00,raw_http,,tranche3; official course page
