source_fragment_id,source_document_id,fragment_type,fragment_order,text_excerpt,normalized_text,selector_hint,notes
SF0123,SD0061,title,1,Università degli Studi di Urbino Carlo Bo,università degli studi di urbino carlo bo,//title,raw snapshot title
SF0124,SD0061,meta_description,2,"L'Università di Urbino Carlo Bo è un ateneo ricco di storia e di una grande tradizione del sapere, impegnata da sempre nella ricerca e al contempo nell'innovazione. Con oltre 500 anni di storia e 15mila studenti, produce conoscenza in molti ambiti di studio. Studia con noi!","l'università di urbino carlo bo è un ateneo ricco di storia e di una grande tradizione del sapere, impegnata da sempre nella ricerca e al contempo nell'innovazione. con oltre 500 anni di storia e 15mila studenti, produce conoscenza in molti ambiti di studio. studia con noi!",//meta[@name='description'],raw snapshot meta description
SF0131,SD0064,title,1,COMUNICAZIONE DIGITALE PER LA CULTURA - A.A. 2025/2026 - LAUREA MAGISTRALE,comunicazione digitale per la cultura - a.a. 2025/2026 - laurea magistrale,//title,raw snapshot title
SF0132,SD0064,meta_description,2,A.A. 2025/2026 - Corso ad accesso libero - Puoi iscriverti dal 06/05/2025 al 13/11/2025,a.a. 2025/2026 - corso ad accesso libero - puoi iscriverti dal 06/05/2025 al 13/11/2025,//meta[@name='description'],raw snapshot meta description
SF0133,SD0064,h1,3,Comunicazione Digitale per la Cultura,comunicazione digitale per la cultura,//h1[1],raw snapshot first h1
SF0154,SD0073,title,1,Corsi di laurea - Università di Urbino,corsi di laurea - università di urbino,//title,raw snapshot title
SF0155,SD0073,meta_description,2,"Elenco completo dei corsi di laurea attivati nell'anno accademico presso l'Università degli Studi di Urbino. Obiettivi formativi, prospettive e didattica.","elenco completo dei corsi di laurea attivati nell'anno accademico presso l'università degli studi di urbino. obiettivi formativi, prospettive e didattica.",//meta[@name='description'],raw snapshot meta description
SF0156,SD0073,h1,3,Lauree,lauree,//h1[1],raw snapshot first h1
