sample_course_id,source_document_id,storage_path,lang_declared,title_text,title_quality_score_heuristic,meta_description_present,meta_description_quality_score_heuristic,canonical_present,structured_data_course,structured_data_breadcrumb,indexability_status,skip_link_present,h1_present,heading_structure_score_heuristic,breadcrumb_present,accessibility_statement_present,missing_alt_count,empty_link_count,form_label_issue_count,parse_warnings
C028,SD0058,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0058.html,1,"Corso di laurea magistrale in Comunicazione pubblicitaria, storytelling e cultura d'immagine (ComPSI)",3,0,0,1,0,1,indexable,1,1,1,1,1,0,0,0,
C029,SD0063,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0063.html,1,"INFORMAZIONE, MEDIA, PUBBLICITà - A.A. 2025/2026 - LAUREA",3,1,3,1,0,0,indexable,0,1,1,1,1,0,2,not_applicable,
C030,SD0064,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0064.html,1,COMUNICAZIONE DIGITALE PER LA CULTURA - A.A. 2025/2026 - LAUREA MAGISTRALE,3,1,3,1,0,0,indexable,0,1,1,1,1,0,2,not_applicable,
C031,SD0067,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0067.html,1,Indirizzo: Comunicazione digitale d'impresa,2,1,3,0,0,0,indexable,1,1,1,0,0,0,0,0,
C032,SD0068,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0068.html,1,"Culture, linguaggi e strategie per la comunicazione nell'era digitale",2,1,3,0,0,0,indexable,1,0,0,0,0,0,0,0,
C033,SD0071,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0071.html,1,Il Corso - COMUNICAZIONE E DAMS - Corsi di Laurea,3,1,1,0,0,0,non_indexable,0,0,0,1,1,3,0,3,
C034,SD0072,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0072.html,1,LINGUAGGI DELLA COMUNICAZIONE E DELLO SPETTACOLO - Corsi di Laurea,3,1,1,0,0,0,indexable,0,0,0,1,1,9,0,3,
C035,SD0076,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0076.html,1,Corsi di Studio | Unina.it,2,0,0,0,0,0,indexable,0,0,0,0,0,0,0,not_applicable,
C036,SD0077,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0077.html,1,Corsi di Studio | Unina.it,2,0,0,0,0,0,indexable,0,0,0,0,0,0,0,not_applicable,
C037,SD0080,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0080.html,1,[92-R] SCIENZE DELLA COMUNICAZIONE | Università degli studi di Bergamo,3,0,0,1,0,0,indexable,1,1,3,1,1,0,0,0,
C038,SD0081,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0081.html,1,Valorizzazione del Patrimonio Culturale Materiale e Immateriale | UniBG,2,0,0,1,0,0,indexable,1,1,1,0,0,0,0,2,
C039,SD0084,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0084.html,1,Beni culturali | UniTrento,2,0,0,1,0,0,indexable,1,1,1,0,1,0,0,not_applicable,
C040,SD0085,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0085.html,1,"Organizzazione, società e tecnologia | UniTrento",2,0,0,1,0,0,indexable,1,1,1,0,1,0,0,not_applicable,
C041,SD0086,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0086.html,1,Giurisprudenza | UniTrento,2,0,0,1,0,0,indexable,1,1,1,0,1,0,0,not_applicable,
