crawl_run_id,serp_observation_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,search_engine,search_interface,hl,gl,browser_mode,login_status,device_profile,viewport_width,observed_at,max_organic_depth,max_organic_depth_observed,target_found,target_found_top10,target_found_top20,target_rank_organic,target_rank_absolute,target_result_title,target_result_url,target_match_type,canonical_course_url,serp_features_observed,ads_observed,evidence_capture_path,notes
CR036,SOBS0011,C002,UNI01,[to_be_filled],SQ02,user_like_institutional,Semiotica Unibo,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T11:31:00+02:00,10,10,true,true,,1,1,Semiotica - Laurea Magistrale - Bologna,https://corsi.unibo.it/magistrale/semiotica,official_equivalent,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,people_also_ask,false,artifacts/runs/SERP_B001/serp/SERP_B001_r002_top10.png,Per qualche ragione i primi 5 risultati sono la stessa pagina. Cinque risultati in fila che riportano tutti allo stesso link di unibo.
CR036,SOBS0012,C002,UNI01,[to_be_filled],SQ03,information_seeking,Semiotica magistrale Bologna,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T11:47:00+02:00,10,10,true,true,,1,1,Semiotica - Laurea Magistrale - Bologna,https://corsi.unibo.it/magistrale/semiotica,official_equivalent,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,people_also_ask,false,artifacts/runs/SERP_B001/serp/SERP_B001_r003_top10.png,"Oltre ai risultati ripetuti di unibo, qui si ripetono più volte anche i risultati di AlmaLaurea"
CR036,SOBS0013,C003,UNI02,[to_be_filled],SQ01,known_institution,"""Comunicazione"" ""Università degli Studi di Padova""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T11:50:00+02:00,10,10,true,true,,1,1,Corso: CORSO DI LAUREA TRIENNALE IN COMUNICAZIONE,https://ssu.elearning.unipd.it/course/view.php?id=17085,official_equivalent,https://www.unipd.it/corsi-di-laurea/comunicazione,ai_overview,false,artifacts/runs/SERP_B001/serp/SERP_B001_r004_top10.png,Non la pagina del corso ma la pagina di Moodle del corso
CR036,SOBS0014,C003,UNI02,[to_be_filled],SQ02,user_like_institutional,Comunicazione Unipd,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T11:55:00+02:00,10,10,true,true,,1,1,Corso: CORSO DI LAUREA TRIENNALE IN COMUNICAZIONE,https://ssu.elearning.unipd.it/course/view.php?id=17085,official_equivalent,https://www.unipd.it/corsi-di-laurea/comunicazione,people_also_ask,false,artifacts/runs/SERP_B001/serp/SERP_B001_r005_top10.png,"Questa triennale sembra avere una pagina IG molto attiva, infatti compare come secondo risultato."
CR036,SOBS0015,C003,UNI02,[to_be_filled],SQ03,information_seeking,Comunicazione triennale Padova,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T11:58:00+02:00,10,10,true,true,,1,1,Corso: CORSO DI LAUREA TRIENNALE IN COMUNICAZIONE,https://ssu.elearning.unipd.it/course/view.php?id=17085,official_equivalent,https://www.unipd.it/corsi-di-laurea/comunicazione,people_also_ask,false,artifacts/runs/SERP_B001/serp/SERP_B001_r006_top10.png,
CR036,SOBS0016,C004,UNI02,[to_be_filled],SQ01,known_institution,"""Strategie di comunicazione"" ""Università degli Studi di Padova""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:02:00+02:00,10,10,true,true,,1,1,CORSO DI LAUREA MAGISTRALE IN STRATEGIE DI ...,https://ssu.elearning.unipd.it/course/view.php?id=14893,official_equivalent,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,ai_overview,false,artifacts/runs/SERP_B001/serp/SERP_B001_r007_top10.png,Anche per la magistrale viene trovata la pagina Moodle del corso e non il sito effettivo di unipd.
CR036,SOBS0017,C004,UNI02,[to_be_filled],SQ02,user_like_institutional,Strategie di comunicazione Unipd,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:05:00+02:00,10,10,true,true,,1,1,CORSO DI LAUREA MAGISTRALE IN STRATEGIE DI ...,https://ssu.elearning.unipd.it/course/view.php?id=14893,official_equivalent,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,,false,artifacts/runs/SERP_B001/serp/SERP_B001_r008_top10.png,"Anche qui lo stesso risultato riportato più volte, sempre quello di Moodle"
CR036,SOBS0018,C004,UNI02,[to_be_filled],SQ03,information_seeking,Strategie di comunicazione magistrale Padova,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:10:00+02:00,10,10,true,true,,2,2,CORSO DI LAUREA MAGISTRALE IN STRATEGIE DI ...,https://ssu.elearning.unipd.it/course/view.php?id=14893,official_equivalent,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,ai_overview,false,artifacts/runs/SERP_B001/serp/SERP_B001_r009_top10.png,
CR036,SOBS0019,C005,UNI03,[to_be_filled],SQ01,known_institution,"""Discipline dello spettacolo e della comunicazione"" ""Università degli Studi di Pisa""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:12:00+02:00,10,20,false,false,false,,,,,not_found,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,ai_overview,false,artifacts/runs/SERP_B001/serp/SERP_B001_r010_top10.png,Con il nome esatto trova AlmaLaurea e non il sito ufficiale
CR036,SOBS0020,C005,UNI03,[to_be_filled],SQ02,user_like_institutional,Discipline dello spettacolo e della comunicazione UniPi,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T12:16:00+02:00,10,10,true,true,,1,1,Discipline dello Spettacolo e della Comunicazione,https://www.cfs.unipi.it/orientamento-e-didattica/corsi-di-laurea-triennale/discipline-dello-spettacolo-e-della-comunicazione/,official_equivalent,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,ai_overview,false,artifacts/runs/SERP_B001/serp/SERP_B001_r011_top10.png,"Primi due risultati sono link equivalenti, uno il sito del dipartimento e l'altro è cineca."
