sample_course_id,course_name,university_name,storage_path,title_quality_score_heuristic,meta_description_quality_score_heuristic,heading_structure_score_heuristic,orientation_description_keyword,orientation_description_FINAL,orientation_requirements_keyword,orientation_requirements_FINAL,orientation_deadlines_keyword,orientation_deadlines_FINAL,orientation_fees_keyword,orientation_fees_FINAL,orientation_contacts_keyword,orientation_contacts_FINAL,orientation_multilingual_keyword,orientation_multilingual_FINAL,orientation_study_plan_keyword,orientation_study_plan_FINAL,orientation_careers_keyword,orientation_careers_FINAL,onsite_search_present,menu_clarity_score,reviewer_notes
C021,Scienze della comunicazione,Università degli Studi di Salerno,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0044.html,2,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C022,Corporate Communication e Media (interclasse LM-59/LM-92),Università degli Studi di Salerno,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0045.html,2,0,1,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C023,Scienze della comunicazione,Università degli Studi Roma Tre,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0049.html,3,3,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C024,Scienze cognitive della comunicazione e dell'azione,Università degli Studi Roma Tre,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0050.html,3,3,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C025,Scienze della Comunicazione,Università degli Studi di Palermo,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0053.html,3,1,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C026,Comunicazione del patrimonio culturale,Università degli Studi di Palermo,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0054.html,3,1,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C027,Comunicazione internazionale e pubblicitaria,Università per Stranieri di Perugia,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0057.html,3,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C028,"Comunicazione pubblicitaria, storytelling e cultura d'immagine",Università per Stranieri di Perugia,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0058.html,3,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C029,"Informazione, Media, Pubblicità",Università degli Studi di Urbino Carlo Bo,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0063.html,3,3,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C030,Comunicazione Digitale per la Cultura,Università degli Studi di Urbino Carlo Bo,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0064.html,3,3,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
