crawl_run_id,target_id,source_document_id,page_role,requested_url,returned_pageurl,http_status,wave_success,tool_name,tool_mode,tool_version,reporttype,audit_date,viewport_policy,viewportwidth,useragent_profile,evaldelay_ms,pagetitle,aimscore,allitemcount,totalelements,error_count,contrast_count,alert_count,feature_count,structure_count,aria_count,raw_json_path,notes
WVRUN_001,WV_HOME_UNI17,SD0069,university_homepage,https://www.unical.it/,https://www.unical.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:45:39Z,desktop_1200,1200,wave_default,500,Portale istituzionale - Università della Calabria,7,727,2420,1,8,507,75,91,45,wave/data/raw/WVRUN_001/WV_HOME_UNI17.json,
WVRUN_001,WV_HOME_UNI18,SD0074,university_homepage,https://www.unina.it/it/,https://www.unina.it/it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:45:50Z,desktop_1200,1200,wave_default,500,Home - Unina,3.7,448,1623,9,51,39,28,101,220,wave/data/raw/WVRUN_001/WV_HOME_UNI18.json,
WVRUN_001,WV_HOME_UNI19,SD0078,university_homepage,https://www.unibg.it/,https://www.unibg.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:46:02Z,desktop_1200,1200,wave_default,500,Università degli studi di Bergamo | UniBg,7.9,435,1172,1,7,41,86,109,191,wave/data/raw/WVRUN_001/WV_HOME_UNI19.json,
WVRUN_001,WV_HOME_UNI20,SD0082,university_homepage,https://www.unitn.it/it,https://www.unitn.it/it,200,True,WAVE WebAIM,api,,4,2026-04-24T09:46:11Z,desktop_1200,1200,wave_default,500,UniTrento,2.4,1529,5664,126,76,66,97,286,878,wave/data/raw/WVRUN_001/WV_HOME_UNI20.json,
WVRUN_001,WV_COURSE_C001,SD0003,course_page,https://corsi.unibo.it/laurea/ScienzeComunicazione,https://corsi.unibo.it/laurea/ScienzeComunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:46:21Z,desktop_1200,1200,wave_default,500,Scienze della comunicazione - Laurea - Bologna,9.6,146,528,1,0,21,17,40,67,wave/data/raw/WVRUN_001/WV_COURSE_C001.json,
WVRUN_001,WV_COURSE_C003,SD0089,course_page,https://www.unipd.it/corsi-di-laurea/comunicazione,https://www.unipd.it/corsi-di-laurea/comunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:46:30Z,desktop_1200,1200,wave_default,500,COMUNICAZIONE | Università di Padova,8.8,547,1362,1,1,44,62,89,350,wave/data/raw/WVRUN_001/WV_COURSE_C003.json,
WVRUN_001,WV_COURSE_C004,SD0090,course_page,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,200,True,WAVE WebAIM,api,,4,2026-04-24T09:46:42Z,desktop_1200,1200,wave_default,500,STRATEGIE DI COMUNICAZIONE | Università di Padova,8.8,549,1368,1,1,44,62,89,352,wave/data/raw/WVRUN_001/WV_COURSE_C004.json,
WVRUN_001,WV_COURSE_C005,SD0011,course_page,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:46:54Z,desktop_1200,1200,wave_default,500,Discipline dello spettacolo e della comunicazione ~ UNIPI,5.9,364,2269,29,0,27,11,167,130,wave/data/raw/WVRUN_001/WV_COURSE_C005.json,
WVRUN_001,WV_COURSE_C006,SD0012,course_page,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:47:08Z,desktop_1200,1200,wave_default,500,"Comunicazione, media, tecnologie ~ UNIPI",5.6,265,1546,29,0,24,9,105,98,wave/data/raw/WVRUN_001/WV_COURSE_C006.json,
WVRUN_001,WV_COURSE_C007,SD0015,course_page,https://www.unifi.it/it/node/6520,https://www.unifi.it/it/node/6520,200,True,WAVE WebAIM,api,,4,2026-04-24T09:47:48Z,desktop_1200,1200,wave_default,500,Scienze Umanistiche per la Comunicazione | Università di Firenze,9.1,311,915,0,0,164,8,69,70,wave/data/raw/WVRUN_001/WV_COURSE_C007.json,
