serp_target_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,canonical_course_url,university_domain,collection_status,notes
ST027,C009,UNI05,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Siena,https://scienze-comunicazione.unisi.it/it,unisi.it,completed,course page on subdomain scienze-comunicazione.unisi.it
ST028,C010,UNI05,[to_be_filled],SQ01,known_institution,"""Strategie e tecniche della comunicazione"" ""Università degli Studi di Siena""",https://www.unisi.it/ugov/degree/82714,unisi.it,completed,
ST029,C010,UNI05,[to_be_filled],SQ02,user_like_institutional,Strategie e tecniche della comunicazione UniSi,https://www.unisi.it/ugov/degree/82714,unisi.it,completed,
ST030,C010,UNI05,[to_be_filled],SQ03,information_seeking,Strategie e tecniche della comunicazione magistrale Siena,https://www.unisi.it/ugov/degree/82714,unisi.it,completed,
ST031,C011,UNI06,[to_be_filled],SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi di Torino""",https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,unito.it,completed,
ST032,C011,UNI06,[to_be_filled],SQ02,user_like_institutional,Scienze della comunicazione UniTo,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,unito.it,completed,
ST033,C011,UNI06,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Torino,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,unito.it,completed,
ST034,C012,UNI06,[to_be_filled],SQ01,known_institution,"""Comunicazione e culture dei media"" ""Università degli Studi di Torino""",https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,unito.it,completed,
ST035,C012,UNI06,[to_be_filled],SQ02,user_like_institutional,Comunicazione e culture dei media UniTo,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,unito.it,completed,
ST036,C012,UNI06,[to_be_filled],SQ03,information_seeking,Comunicazione e culture dei media magistrale Torino,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,unito.it,completed,
ST037,C013,UNI07,[to_be_filled],SQ01,known_institution,"""Media, comunicazione e società"" ""Università degli Studi di Genova""",https://corsi.unige.it/corsi/11938,unige.it,completed,
ST038,C013,UNI07,[to_be_filled],SQ02,user_like_institutional,"Media, comunicazione e società UniGe",https://corsi.unige.it/corsi/11938,unige.it,completed,course name contains commas
ST039,C013,UNI07,[to_be_filled],SQ03,information_seeking,"Media, comunicazione e società triennale Genova",https://corsi.unige.it/corsi/11938,unige.it,completed,course name contains commas
ST040,C014,UNI07,[to_be_filled],SQ01,known_institution,"""Digital Humanities - Interactive systems and digital media"" ""Università degli Studi di Genova""",https://corsi.unige.it/corsi/11945,unige.it,completed,course name in English
ST041,C014,UNI07,[to_be_filled],SQ02,user_like_institutional,Digital Humanities - Interactive systems and digital media UniGe,https://corsi.unige.it/corsi/11945,unige.it,completed,course name in English
ST042,C014,UNI07,[to_be_filled],SQ03,information_seeking,Digital Humanities - Interactive systems and digital media magistrale Genova,https://corsi.unige.it/corsi/11945,unige.it,completed,course name in English
ST043,C015,UNI08,[to_be_filled],SQ01,known_institution,"""Comunicazione interculturale"" ""Università degli Studi di Milano-Bicocca""",https://www.unimib.it/triennale/comunicazione-interculturale,unimib.it,completed,
ST044,C015,UNI08,[to_be_filled],SQ02,user_like_institutional,Comunicazione interculturale UniMiB,https://www.unimib.it/triennale/comunicazione-interculturale,unimib.it,completed,
ST045,C015,UNI08,[to_be_filled],SQ03,information_seeking,Comunicazione interculturale triennale Milano,https://www.unimib.it/triennale/comunicazione-interculturale,unimib.it,completed,
ST046,C016,UNI08,[to_be_filled],SQ01,known_institution,"""Teoria e tecnologia della comunicazione"" ""Università degli Studi di Milano-Bicocca""",https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,unimib.it,completed,
ST047,C016,UNI08,[to_be_filled],SQ02,user_like_institutional,Teoria e tecnologia della comunicazione UniMiB,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,unimib.it,completed,
ST048,C016,UNI08,[to_be_filled],SQ03,information_seeking,Teoria e tecnologia della comunicazione magistrale Milano,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,unimib.it,completed,
ST049,C017,UNI09,[to_be_filled],SQ01,known_institution,"""Comunicazione e società"" ""Università degli Studi di Milano""",https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,unimi.it,completed,
ST050,C017,UNI09,[to_be_filled],SQ02,user_like_institutional,Comunicazione e società UniMi,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,unimi.it,completed,
ST051,C017,UNI09,[to_be_filled],SQ03,information_seeking,Comunicazione e società triennale Milano,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,unimi.it,completed,
ST052,C018,UNI09,[to_be_filled],SQ01,known_institution,"""Editoria, culture della comunicazione e della moda"" ""Università degli Studi di Milano""",https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,unimi.it,completed,
ST053,C018,UNI09,[to_be_filled],SQ02,user_like_institutional,"Editoria, culture della comunicazione e della moda UniMi",https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,unimi.it,completed,course name contains commas
ST054,C018,UNI09,[to_be_filled],SQ03,information_seeking,"Editoria, culture della comunicazione e della moda magistrale Milano",https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,unimi.it,completed,course name contains commas
ST055,C019,UNI10,[to_be_filled],SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi dell'Insubria""",https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,uninsubria.it,completed,
ST056,C019,UNI10,[to_be_filled],SQ02,user_like_institutional,Scienze della comunicazione Insubria,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,uninsubria.it,completed,
ST057,C019,UNI10,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Varese,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,uninsubria.it,completed,
ST058,C020,UNI10,[to_be_filled],SQ01,known_institution,"""Scienze e Tecniche della Comunicazione"" ""Università degli Studi dell'Insubria""",https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,uninsubria.it,completed,
ST059,C020,UNI10,[to_be_filled],SQ02,user_like_institutional,Scienze e Tecniche della Comunicazione Insubria,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,uninsubria.it,completed,
ST060,C020,UNI10,[to_be_filled],SQ03,information_seeking,Scienze e Tecniche della Comunicazione magistrale Varese,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,uninsubria.it,completed,
ST061,C021,UNI11,[to_be_filled],SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi di Salerno""",https://corsi.unisa.it/scienze-della-comunicazione,unisa.it,completed,
