source_fragment_id,source_document_id,fragment_type,fragment_order,text_excerpt,normalized_text,selector_hint,notes
SF0093,SD0047,title,1,Homepage - Università Roma Tre,homepage - università roma tre,//title,raw snapshot title
SF0094,SD0047,h1,2,Università Roma Tre,università roma tre,//h1[1],raw snapshot first h1
SF0097,SD0049,title,1,Scienze della Comunicazione - Università Roma Tre,scienze della comunicazione - università roma tre,//title,raw snapshot title
SF0098,SD0049,meta_description,2,Il Corso di Laurea triennale in Scienze della Comunicazione propone un percorso formativo volto a fornire alle studentesse e agli…,il corso di laurea triennale in scienze della comunicazione propone un percorso formativo volto a fornire alle studentesse e agli…,//meta[@name='description'],raw snapshot meta description
SF0099,SD0049,h1,3,Scienze della Comunicazione,scienze della comunicazione,//h1[1],raw snapshot first h1
SF0119,SD0059,title,1,Offerta formativa - Università Roma Tre,offerta formativa - università roma tre,//title,raw snapshot title
SF0120,SD0059,h1,2,Offerta formativa,offerta formativa,//h1[1],raw snapshot first h1
