source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,parent_source_document_id,url,url_norm,host,domain_family,path,source_kind,page_role,doc_type_guess,discovery_depth,discovery_score,anchor_text,fetch_status,http_status,content_type,final_url,title,storage_path,content_sha256,file_ext,fetched_at,render_mode,error_message,notes
SD0069,CR010,UNI17,,,,https://www.unical.it/,https://www.unical.it/,www.unical.it,unical.it,/,master_reference,university_homepage,html,0,10,,fetched,200,text/html; charset=utf-8,https://www.unical.it/,Portale istituzionale - Università della Calabria,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0069.html,665f956e904127108c7d60cf8216867d9273405a51ddf486f2c0755b3ca04629,.html,2026-04-03T17:43:48+02:00,raw_http,,tranche6; homepage snapshot
SD0070,CR010,UNI17,,,SD0069,https://www.unical.it/didattica/offerta-formativa/,https://www.unical.it/didattica/offerta-formativa/,www.unical.it,unical.it,/didattica/offerta-formativa/,master_reference,programmes_hub,html,0,10,,fetched,200,text/html; charset=utf-8,https://www.unical.it/didattica/offerta-formativa/,Offerta Formativa - Università della Calabria,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0070.html,bff5d261fef88866f5a37ab2fe9860403577f8ce62171cd949e97c09e569690e,.html,2026-04-03T17:43:49+02:00,raw_http,,tranche6; programmes hub snapshot
SD0072,CR010,UNI17,C034,J034,SD0070,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,corsi.unical.it,unical.it,/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=utf-8,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,LINGUAGGI DELLA COMUNICAZIONE E DELLO SPETTACOLO - Corsi di Laurea,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0072.html,f0e36dcd83f83378147d08426827ac36a6385950c054dce0e568f1db39168530,.html,2026-04-03T17:43:52+02:00,raw_http,,tranche6; official course page
