"course_id","university_id","source_document_id","indicator_id","indicator_label","priority","trigger_reason","auto_observed","auto_location_type","auto_local_findability","auto_confidence","auto_evidence_text","auto_evidence_url","auto_evidence_selector","auto_evidence_document_type","auto_notes","evidence_artifact_path","rendered_screenshot_path","target_url","reviewer_decision","reviewer_observed","reviewer_location_type","reviewer_local_findability","reviewer_confidence","reviewer_evidence_text","reviewer_evidence_url","reviewer_notes","reviewer_id","reviewed_at"
"C003","UNI02","SD0089","degree_level","Degree level","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Master: Master","https://www.unipd.it/corsi-di-laurea/comunicazione","[aria-label=Master]","html","","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","corrected","present","heading_or_summary","direct","high","Corso Laurea L-20 - Scienze della comunicazione","https://www.unipd.it/corsi-di-laurea/comunicazione","auto picked search chip ""Master"" (homepage nav). Real: summary card ""Corso Laurea L-20"" triennale 3 anni. Verified via static SD0089.html. Rendered artifact = homepage (cookie banner).","gaia","2026-05-07T13:37:54+02:00"
"C003","UNI02","SD0089","academic_year","Academic year or edition","essential","confidence=low | location_type=ambiguous | course_outlier(missing>=3)","present","ambiguous","unclear","low","2026/27","https://www.unipd.it/corsi-di-laurea/comunicazione","body","html","keyword found in page text without structural anchor","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","corrected","not_observed","not_observed","not_found","not_observed","","","auto ev=""2026/27"" from UniPD homepage generic promo ""Ammissione ai corsi 2026/27"". Rendered artifact = homepage, not course page. Course-specific a.a. not visible.","gaia","2026-05-07T14:01:14+02:00"
"C003","UNI02","SD0089","language","Teaching language","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C003","UNI02","SD0089","location","Campus / city / location","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Campus multisede","https://www.unipd.it/corsi-di-laurea/comunicazione","h3","html","","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C003","UNI02","SD0089","study_plan","Study plan / piano di studi / curriculum / teachings","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C003","UNI02","SD0089","admission_requirements","Access requirements / admission requirements","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C003","UNI02","SD0089","admission_procedure","Admission or enrolment procedure","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Iscriversi: Iscriversi","https://www.unipd.it/corsi-di-laurea/comunicazione","[aria-label=Iscriversi]","html","","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","corrected","present","heading_or_summary","direct","medium","Accesso programmato","https://www.unipd.it/corsi-di-laurea/comunicazione","auto picked search chip ""Iscriversi"" (homepage nav). Real: summary card ""Accesso programmato"" + ""Iscriviti"" link. Procedure detail behind link. Verified via static SD0089.html.","gaia","2026-05-07T13:37:54+02:00"
"C003","UNI02","SD0089","deadlines","Application / enrolment deadlines","essential","confidence=low | location_type=ambiguous | course_outlier(missing>=3)","present","ambiguous","unclear","low","entro il","https://www.unipd.it/corsi-di-laurea/comunicazione","body","html","keyword found in page text without structural anchor","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","corrected","not_observed","not_observed","not_found","not_observed","","","auto ev=""entro il"" from UniPD homepage CTA ""Fai domanda su Uniweb entro il 25 maggio"". Homepage generic, not course-specific.","gaia","2026-05-07T14:01:14+02:00"
"C003","UNI02","SD0089","contacts","Contact / tutor / orientation / course office","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","I nostri servizi di orientamento Al tuo fianco nella scelta","https://www.unipd.it/corsi-di-laurea/comunicazione","div@div","html","","artifacts/runs/STRUN_001/source_rendered/C003.html","artifacts/runs/STRUN_001/screenshots/C003.png","https://www.unipd.it/corsi-di-laurea/comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C004","UNI02","SD0090","course_title","Course title","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Università di Padova | Università di Padova","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","title|h1","html","","artifacts/runs/STRUN_001/source_rendered/C004.html","artifacts/runs/STRUN_001/screenshots/C004.png","https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
